,Importance,Std
0_Mean,1.403016485443942e-05,2.9945629544879855e-05
Scale_1.0,0.0001286098444989503,3.947607392989294e-05
0_Spectral spread,0.0002502046065707253,6.450655547356979e-05
0_Max,0.00034841576055180126,0.00010428669763115416
0_Spectral centroid,0.00040687478077863217,6.547410265405063e-05
0_Spectral entropy,0.0004232433064421448,9.02316444830025e-05
0_Spectral distance,0.0004606570793873166,0.0001259462926177717
0_Entropy,0.000523792821232294,8.313522195549723e-05
0_Negative turning points,0.0005939436455044911,6.630397230800996e-05
0_Kurtosis,0.0006594177481585306,4.993372267989144e-05
0_Centroid,0.0007248918508125701,8.623448574573215e-05
0_Peak to peak distance,0.0007739974278030525,0.00012954181208430028
0_Mean diff,0.0008114112007482355,8.689771624485025e-05
0_Interquartile range,0.0008184262831754441,9.697856356048877e-05
0_Absolute energy,0.0008254413656026638,9.238744891913205e-05
0_Spectral positive turning points,0.000867531860165971,0.00013532221486008467
0_Autocorrelation,0.0008909154682566923,9.666796028805982e-05
0_Skewness,0.0009400210452472302,0.0001018194367219681
0_Spectral roll-off,0.0011878872910089822,5.513773470152506e-05
0_Spectral decrease,0.001274406640944692,0.00011226567411817926
0_Slope,0.002286916871273181,0.000177715421489566
0_Max power spectrum,0.002336022448263719,0.00010940430319458969
0_Min,0.0025698585291710208,0.0001729280663578569
0_Neighbourhood peaks,0.0029323044545772835,0.00023318042066769823
0_Spectral variation,0.0034911726879456985,0.00018114374284451288
0_Spectral kurtosis,0.0039027241903425323,0.00016080375304059624
0_Zero crossing rate,0.00429556880626677,0.0002298383867686169
Scale_14.5,0.01084765579328888,0.0005235474446548912
0_Mean absolute deviation,0.01095054366888808,0.0003634703392256489
0_Power bandwidth,0.015311586577808923,0.0004007816725944625
