,seconds_since_hr_recording,value,id
0,0.0,-0.993068906930271,1
1,300.0,-0.1815895481218773,1
2,600.0,0.8032296993644633,1
3,900.0,0.648477269676684,1
4,1200.0,0.7391245413384402,1
5,1500.0,0.29851391190442506,1
6,1800.0,0.7084811478338315,1
7,2100.0,0.82994844537838,1
8,2400.0,0.5715302405236435,1
9,2700.0,-0.2649267183777564,1
10,3000.0,0.15758056422892824,1
11,3300.0,0.16147856192221147,1
12,3600.0,-0.2927068080675994,1
13,3900.0,-1.412649050160952,1
14,4200.0,-0.7148112448994792,1
15,4500.0,-0.5442692750682323,1
16,4800.0,-0.5722944809179766,1
17,5100.0,-0.3131380611809108,1
18,5400.0,0.2303163830987763,1
19,5700.0,0.3333953204303195,1
20,6000.0,0.4495028324114335,1
21,6300.0,0.021608184799809985,1
22,6600.0,0.17953070085393644,1
23,6900.0,0.1385942104513636,1
24,7200.0,0.49293510732960394,1
25,7500.0,0.5246119551872691,1
26,7800.0,0.4077521287217078,1
27,8100.0,0.5089945541421906,1
28,8400.0,0.7929483004880371,1
29,8700.0,0.6882215689968592,1
30,9000.0,0.585733265547452,1
31,9300.0,0.7624950192009996,1
32,9600.0,0.7971606728263494,1
33,9900.0,0.4851078139251508,1
34,10200.0,-0.15528263444235774,1
35,10500.0,0.9104633711003867,1
36,10800.0,0.09050100991870375,1
37,11100.0,0.22093425994425853,1
38,11400.0,0.031070102405874496,1
39,11700.0,0.033966253645354674,1
40,12000.0,0.00856682754392362,1
41,12300.0,0.27831119629797385,1
42,12600.0,0.06670638193747959,1
43,12900.0,0.05217178385287087,1
44,13200.0,0.06711271387764325,1
45,13500.0,0.7779639096017902,1
46,13800.0,0.8333555909891306,1
47,14100.0,0.7162587052791646,1
48,14400.0,1.3057155030499343,1
49,14700.0,1.0607987518081157,1
50,15000.0,-0.10096151570155938,1
51,15300.0,-0.20648696641162906,1
52,15600.0,-0.177454181302825,1
53,15900.0,-0.06488822597463281,1
54,16200.0,-0.3175089378375411,1
55,16500.0,-0.30543402308948,1
56,16800.0,-0.2426214577081901,1
57,17100.0,-0.014821468497136872,1
58,17400.0,0.32939862552220955,1
59,17700.0,0.6086118067427021,1
60,18000.0,0.430927846146217,1
61,18300.0,0.7419901692634437,1
62,18600.0,0.3551609227023309,1
63,18900.0,-0.21810751760791536,1
64,19200.0,-0.24687612885285698,1
65,19500.0,-0.552871969118844,1
66,19800.0,-0.07753564654496552,1
67,20100.0,0.7179557705758705,1
68,20400.0,0.20858207884465385,1
69,20700.0,-0.4184357490875325,1
70,21000.0,-0.3251455767320341,1
71,21300.0,-0.36860295204078897,1
72,21600.0,-0.7468054112751447,1
73,21900.0,-0.10383876417776065,1
74,22200.0,-0.7322526076603282,1
75,22500.0,-0.7465846208024145,1
76,22800.0,-0.6132062582816729,1
77,23100.0,-0.3096518958220257,1
78,23400.0,0.04464592754644798,1
79,23700.0,-0.17341410300358276,1
80,24000.0,-0.41333277770553717,1
81,24300.0,-0.6790746412758796,1
82,24600.0,0.5624418074330271,1
83,24900.0,-0.3105552000016831,1
84,25200.0,0.09000907325139335,1
85,25500.0,-0.4847464877306119,1
86,25800.0,0.10765526759466242,1
87,26100.0,0.1347698870526649,1
88,26400.0,-0.34806711396671086,1
89,26700.0,0.8879930986038325,1
90,27000.0,0.5802712966038319,1
91,27300.0,0.787176295238499,1
92,27600.0,1.9346406507851377,1
93,27900.0,2.570930129165135,1
94,28200.0,2.0029240941992987,1
95,28500.0,2.176162574200472,1
96,28800.0,3.52055227648475,1
97,29100.0,3.2922882399292583,1
98,29400.0,1.825080544699718,1
99,29700.0,1.122639916579738,1
